kg	1 kg	kg	\N
kilogram	1 kg	kg	\N
s	1 s	s	\N
second	1 s	s	\N
m	1 m	m	\N
meter	1 m	m	\N
A	1 A	A	\N
ampere	1 A	A	\N
amp	1 A	ampere	\N
cd	1 cd	cd	\N
candela	1 cd	cd	\N
mol	1 mol	mol	\N
mole	1 mol	mol	\N
K	1 K	K	\N
kelvin	1 K	K	\N
radian	1	1	\N
sr	1	1	\N
steradian	1	sr	\N
B	1 B	B	\N
byte	1 B	B	\N
bit	0.125 B	1|8 B	\N
one	1	1	\N
two	2	2	\N
double	2	2	\N
couple	2	2	\N
three	3	3	\N
triple	3	3	\N
four	4	4	\N
quadruple	4	4	\N
five	5	5	\N
quintuple	5	5	\N
six	6	6	\N
seven	7	7	\N
eight	8	8	\N
nine	9	9	\N
ten	10	10	\N
eleven	11	11	\N
twelve	12	12	\N
thirteen	13	13	\N
fourteen	14	14	\N
fifteen	15	15	\N
sixteen	16	16	\N
seventeen	17	17	\N
eighteen	18	18	\N
nineteen	19	19	\N
twenty	20	20	\N
thirty	30	30	\N
forty	40	40	\N
fifty	50	50	\N
sixty	60	60	\N
seventy	70	70	\N
eighty	80	80	\N
ninety	90	90	\N
hundred	100	100	\N
thousand	1000	1000	\N
million	1000000	1e6	\N
shortbillion	1000000000	1e9	\N
shorttrillion	1000000000000	1e12	\N
shortquadrillion	1000000000000000	1e15	\N
shortquintillion	1e+18	1e18	\N
shortsextillion	1e+21	1e21	\N
shortseptillion	9.99999999999999983e+23	1e24	\N
shortoctillion	1.00000000000000001e+27	1e27	\N
shortnonillion	1.00000000000000002e+30	1e30	\N
shortnoventillion	1.00000000000000002e+30	shortnonillion	\N
shortdecillion	9.99999999999999946e+32	1e33	\N
shortundecillion	1.00000000000000004e+36	1e36	\N
shortduodecillion	9.9999999999999994e+38	1e39	\N
shorttredecillion	1.00000000000000004e+42	1e42	\N
shortquattuordecillion	9.9999999999999993e+44	1e45	\N
shortquindecillion	1.00000000000000004e+48	1e48	\N
shortsexdecillion	9.99999999999999993e+50	1e51	\N
shortseptendecillion	1.00000000000000008e+54	1e54	\N
shortoctodecillion	1.00000000000000005e+57	1e57	\N
shortnovemdecillion	9.99999999999999949e+59	1e60	\N
shortvigintillion	1.00000000000000006e+63	1e63	\N
centillion	1e+303	1e303	\N
googol	1.00000000000000002e+100	1e100	\N
longbillion	1000000000000	million^2	\N
longtrillion	1e+18	million^3	\N
longquadrillion	9.99999999999999983e+23	million^4	\N
longquintillion	1.00000000000000002e+30	million^5	\N
longsextillion	1.00000000000000004e+36	million^6	\N
longseptillion	1.00000000000000004e+42	million^7	\N
longoctillion	1.00000000000000004e+48	million^8	\N
longnonillion	1.00000000000000008e+54	million^9	\N
longnoventillion	1.00000000000000008e+54	longnonillion	\N
longdecillion	9.99999999999999949e+59	million^10	\N
longundecillion	9.99999999999999945e+65	million^11	\N
longduodecillion	9.99999999999999944e+71	million^12	\N
longtredecillion	1.00000000000000001e+78	million^13	\N
longquattuordecillion	1.00000000000000006e+84	million^14	\N
longquindecillion	9.99999999999999966e+89	million^15	\N
longsexdecillion	1.00000000000000005e+96	million^16	\N
longseptdecillion	9.99999999999999977e+101	million^17	\N
longoctodecillion	1.00000000000000003e+108	million^18	\N
longnovemdecillion	1.00000000000000002e+114	million^19	\N
longvigintillion	9.9999999999999998e+119	million^20	\N
milliard	1000000000	1000 million	\N
billiard	1000000000000000	1000 million^2	\N
trilliard	1e+21	1000 million^3	\N
quadrilliard	1.00000000000000001e+27	1000 million^4	\N
quintilliard	1.00000000000000009e+33	1000 million^5	\N
sextilliard	1.00000000000000009e+39	1000 million^6	\N
septilliard	1.00000000000000009e+45	1000 million^7	\N
octilliard	9.99999999999999993e+50	1000 million^8	\N
nonilliard	1.00000000000000005e+57	1000 million^9	\N
noventilliard	1.00000000000000005e+57	nonilliard	\N
decilliard	9.99999999999999875e+62	1000 million^10	\N
longmilliard	1000000000	milliard	\N
longbilliard	1000000000000000	billiard	\N
longtrilliard	1e+21	trilliard	\N
longquadrilliard	1.00000000000000001e+27	quadrilliard	\N
longquintilliard	1.00000000000000009e+33	quintilliard	\N
longsextilliard	1.00000000000000009e+39	sextilliard	\N
longseptilliard	1.00000000000000009e+45	septilliard	\N
